Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Access Type,Source,EID
"Ren Z., Zhang P., Liu J., Lan Y.","57214103072;57211950193;57214119216;57212306560;","Research on netizens' emotion evolution in emergency based on machine learning",2019,"Journal of Physics: Conference Series","1419","1", 012004,"","",,,"10.1088/1742-6596/1419/1/012004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078253637&doi=10.1088%2f1742-6596%2f1419%2f1%2f012004&partnerID=40&md5=10acc63c10936800701f03dce71f4921","Department of Fire Commanding, People's Police University of China, Langfang, Hebei, China; Department of Literature and Law, North China Institute of Aerospace Engineering, Langfang, Hebei, China; Department of Border Control, People's Police University of China, Langfang, Hebei, China","Ren, Z., Department of Fire Commanding, People's Police University of China, Langfang, Hebei, China; Zhang, P., Department of Fire Commanding, People's Police University of China, Langfang, Hebei, China; Liu, J., Department of Literature and Law, North China Institute of Aerospace Engineering, Langfang, Hebei, China; Lan, Y., Department of Border Control, People's Police University of China, Langfang, Hebei, China",,"Tan L.Yang L.Zhang J.","Institute of Physics Publishing",17426588,,,,"English","J. Phys. Conf. Ser.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85078253637
"Hernández-Yumar A., Abásolo Alessón I., González López-Valcárcel B.","57203987023;57212675377;6507677112;","Economic crisis and obesity in the Canary Islands: An exploratory study through the relationship between body mass index and educational level",2019,"BMC Public Health","19","1", 1755,"","",,,"10.1186/s12889-019-8098-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077321700&doi=10.1186%2fs12889-019-8098-x&partnerID=40&md5=0eda1262c349cd331e6fc9c6b1ad451d","Departamento de Economiá Aplicada y Métodos Cuantitativos, Facultad de Economiá, Empresa y Turismo, Universidad de la Laguna (ULL), San Cristóbal de la Laguna, Santa Cruz de Tenerife, Spain; Departamento de Métodos Cuantitativos en Economiá y Gestión, Universidad de Las Palmas de Gran Canaria (ULPGC), Las Palmas de Gran Canaria, Spain","Hernández-Yumar, A., Departamento de Economiá Aplicada y Métodos Cuantitativos, Facultad de Economiá, Empresa y Turismo, Universidad de la Laguna (ULL), San Cristóbal de la Laguna, Santa Cruz de Tenerife, Spain; Abásolo Alessón, I., Departamento de Economiá Aplicada y Métodos Cuantitativos, Facultad de Economiá, Empresa y Turismo, Universidad de la Laguna (ULL), San Cristóbal de la Laguna, Santa Cruz de Tenerife, Spain; González López-Valcárcel, B., Departamento de Métodos Cuantitativos en Economiá y Gestión, Universidad de Las Palmas de Gran Canaria (ULPGC), Las Palmas de Gran Canaria, Spain","Hernández-Yumar, A.; Departamento de Economiá Aplicada y Métodos Cuantitativos, Facultad de Economiá, Empresa y Turismo, Universidad de la Laguna (ULL), San Cristóbal de la LagunaSpain; email: ahernany@ull.edu.es",,"BioMed Central Ltd.",14712458,,,"31888574","English","BMC Public Health",Article,"Final",Open Access,Scopus,2-s2.0-85077321700
"Cinner J.E., Lau J.D., Bauman A.G., Feary D.A., Januchowski-Hartley F.A., Rojas C.A., Barnes M.L., Bergseth B.J., Shum E., Lahari R., Ben J., Graham N.A.J.","6507148162;57199226944;26428676800;36955314300;43861293600;57212684444;56575902600;55838679300;57212681871;42961974300;9639467100;8503393500;","Sixteen years of social and ecological dynamics reveal challenges and opportunities for adaptive management in sustaining the commons",2019,"Proceedings of the National Academy of Sciences of the United States of America","116","52",,"26474","26483",,,"10.1073/pnas.1914812116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077305907&doi=10.1073%2fpnas.1914812116&partnerID=40&md5=b694e7ae65af930b53014fe63bc633d3","Australian Research Council Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD  4811, Australia; WorldFish, James Cook University, Townsville, QLD  4811, Australia; Experimental Marine Ecology Laboratory, Department of Biological Science, National University of Singapore, Singapore, 117543, Singapore; MRAG Ltd., London, W1J 5PN, United Kingdom; Department of Biosciences, Swansea University, Swansea, SA2 8PP, United Kingdom; UMR 248 Marine Biodiversity Exploitation and Conservation, UMR 250 Écologie Marine Tropicale des Océans Pacifique et Indien, UM2-CNRS-Inst. de Rech. Pour le Développement-Inst, Français de Rech. Pour l'Exploitation de la Mer-UM1, Université Montpellier 2, Montpellier, 34095, France; Oceans and Atmosphere Flagship, Commonwealth Scientific and Industrial Research Organisation, Castray Esplanade, Hobart, TAS  7000, Australia; Kavieng, New Ireland Province, Papua New Guinea; Lae, Morobe Province, Papua New Guinea; Lancaster Environment Centre, Lancaster University, Lancaster, LA1 4YQ, United Kingdom","Cinner, J.E., Australian Research Council Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD  4811, Australia; Lau, J.D., Australian Research Council Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD  4811, Australia, WorldFish, James Cook University, Townsville, QLD  4811, Australia; Bauman, A.G., Experimental Marine Ecology Laboratory, Department of Biological Science, National University of Singapore, Singapore, 117543, Singapore; Feary, D.A., MRAG Ltd., London, W1J 5PN, United Kingdom; Januchowski-Hartley, F.A., Department of Biosciences, Swansea University, Swansea, SA2 8PP, United Kingdom, UMR 248 Marine Biodiversity Exploitation and Conservation, UMR 250 Écologie Marine Tropicale des Océans Pacifique et Indien, UM2-CNRS-Inst. de Rech. Pour le Développement-Inst, Français de Rech. Pour l'Exploitation de la Mer-UM1, Université Montpellier 2, Montpellier, 34095, France; Rojas, C.A., Australian Research Council Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD  4811, Australia; Barnes, M.L., Australian Research Council Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD  4811, Australia; Bergseth, B.J., Australian Research Council Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD  4811, Australia, Oceans and Atmosphere Flagship, Commonwealth Scientific and Industrial Research Organisation, Castray Esplanade, Hobart, TAS  7000, Australia; Shum, E., Australian Research Council Centre of Excellence for Coral Reef Studies, James Cook University, Townsville, QLD  4811, Australia; Lahari, R., Kavieng, New Ireland Province, Papua New Guinea; Ben, J., Lae, Morobe Province, Papua New Guinea; Graham, N.A.J., Lancaster Environment Centre, Lancaster University, Lancaster, LA1 4YQ, United Kingdom","Cinner, J.E.; Australian Research Council Centre of Excellence for Coral Reef Studies, James Cook UniversityAustralia; email: joshua.cinner@jcu.edu.au",,"National Academy of Sciences",00278424,,PNASA,"31843883","English","Proc. Natl. Acad. Sci. U. S. A.",Article,"Final",Open Access,Scopus,2-s2.0-85077305907
"Fu J., Wei X., Luo S., Zuo Z., Zhou H., Liu B., Kong Q., Zhan S., Nan J.","7401722279;8349105900;7401985796;57212445858;57212447341;57212450377;57155827500;57212452948;24485254300;","Discovery and geological knowledge of the large deep coal-formed Qingyang Gas Field, Ordos Basin, NW China [庆阳深层煤成气大气田发现与地质认识]",2019,"Shiyou Kantan Yu Kaifa/Petroleum Exploration and Development","46","6",,"1047","1061",,,"10.11698/PED.2019.06.04","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077928352&doi=10.11698%2fPED.2019.06.04&partnerID=40&md5=61c0f37a9dee9fc4289f514711f16c9e","PetroChina Changqing Oilfield Company, Xi'an, 710018, China; National Engineering Laboratory of Low Permeability Oil and Gas Field Exploration and Development, Xi'an, 710018, China; Research Institute of Exploration and Development, PetroChina Changqing Oilfield Company, Xi'an, 710018, China; Hubei Cooperative Innovation Center of Unconventional Oil and Gas, Yangtze University, Wuhan, 430100, China; Exploration Department, PetroChina Changqing Oilfield Company, Xi'an, 710018, China","Fu, J., PetroChina Changqing Oilfield Company, Xi'an, 710018, China, National Engineering Laboratory of Low Permeability Oil and Gas Field Exploration and Development, Xi'an, 710018, China; Wei, X., National Engineering Laboratory of Low Permeability Oil and Gas Field Exploration and Development, Xi'an, 710018, China, Research Institute of Exploration and Development, PetroChina Changqing Oilfield Company, Xi'an, 710018, China; Luo, S., Hubei Cooperative Innovation Center of Unconventional Oil and Gas, Yangtze University, Wuhan, 430100, China; Zuo, Z., Exploration Department, PetroChina Changqing Oilfield Company, Xi'an, 710018, China; Zhou, H., National Engineering Laboratory of Low Permeability Oil and Gas Field Exploration and Development, Xi'an, 710018, China, Research Institute of Exploration and Development, PetroChina Changqing Oilfield Company, Xi'an, 710018, China; Liu, B., National Engineering Laboratory of Low Permeability Oil and Gas Field Exploration and Development, Xi'an, 710018, China, Research Institute of Exploration and Development, PetroChina Changqing Oilfield Company, Xi'an, 710018, China; Kong, Q., National Engineering Laboratory of Low Permeability Oil and Gas Field Exploration and Development, Xi'an, 710018, China, Research Institute of Exploration and Development, PetroChina Changqing Oilfield Company, Xi'an, 710018, China; Zhan, S., National Engineering Laboratory of Low Permeability Oil and Gas Field Exploration and Development, Xi'an, 710018, China, Research Institute of Exploration and Development, PetroChina Changqing Oilfield Company, Xi'an, 710018, China; Nan, J., National Engineering Laboratory of Low Permeability Oil and Gas Field Exploration and Development, Xi'an, 710018, China, Research Institute of Exploration and Development, PetroChina Changqing Oilfield Company, Xi'an, 710018, China","Luo, S.; Hubei Cooperative Innovation Center of Unconventional Oil and Gas, Yangtze UniversityChina; email: lss8061069@163.com",,"Science Press",10000747,,SKYKE,,"Chinese","Shiyou Kantan Yu Kaifa",Article,"Final",,Scopus,2-s2.0-85077928352
"Liu Y., Zhao W., Hua T., Wang S., Fu B.","55994329700;7403943271;57204769282;56017732500;23004373400;","Slower vegetation greening faced faster social development on the landscape of the Belt and Road region",2019,"Science of the Total Environment","697",, 134103,"","",,,"10.1016/j.scitotenv.2019.134103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071474135&doi=10.1016%2fj.scitotenv.2019.134103&partnerID=40&md5=2843949442e364f245f87ea5277caee9","State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing, 100875, China","Liu, Y., State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing, 100875, China; Zhao, W., State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing, 100875, China; Hua, T., State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing, 100875, China; Wang, S., State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing, 100875, China; Fu, B., State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal University, Beijing, 100875, China","Zhao, W.; State Key Laboratory of Earth Surface Processes and Resource Ecology, Faculty of Geographical Science, Beijing Normal UniversityChina; email: zhaoww@bnu.edu.cn",,"Elsevier B.V.",00489697,,STEVA,"31476500","English","Sci. Total Environ.",Article,"Final",,Scopus,2-s2.0-85071474135
"Elisabetta R., Macari G., Massimo S., Sofia B., Giuseppe S.M.","55770928300;57194831501;57202006325;22957183300;57204181883;","Structural trend and conceptual evolution of research on genetically modified organisms using a science mapping approach",2019,"Journal of Cleaner Production","205",,,"329","338",,2,"10.1016/j.jclepro.2018.09.118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054808946&doi=10.1016%2fj.jclepro.2018.09.118&partnerID=40&md5=f215b7d99b0695d61f6e94e50fcfdc53","Council for Agricultural Research and Economics, Research Centre on Agriculture and Environment, CREA-AA, Rome, I-00184, Italy; Roma Tre University, Department of Science, Rome, I-00146, Italy; University of Viterbo, Department for Innovation in Biological, Agro-food and Forest Systems, DIBAF, Viterbo, I-01100, Italy","Elisabetta, R., Council for Agricultural Research and Economics, Research Centre on Agriculture and Environment, CREA-AA, Rome, I-00184, Italy; Macari, G., Roma Tre University, Department of Science, Rome, I-00146, Italy; Massimo, S., Council for Agricultural Research and Economics, Research Centre on Agriculture and Environment, CREA-AA, Rome, I-00184, Italy; Sofia, B., Council for Agricultural Research and Economics, Research Centre on Agriculture and Environment, CREA-AA, Rome, I-00184, Italy; Giuseppe, S.M., University of Viterbo, Department for Innovation in Biological, Agro-food and Forest Systems, DIBAF, Viterbo, I-01100, Italy","Elisabetta, R.; Council for Agricultural Research and Economics, Research Centre on Agriculture and Environment, CREA-AAItaly; email: elisabetta.raparelli@crea.gov.it",,"Elsevier Ltd",09596526,,JCROE,,"English","J. Clean. Prod.",Article,"Final",,Scopus,2-s2.0-85054808946
"Jiang X., Ju P., Song Y., Mao L., Xie G.","57214068234;57214093985;57214092120;57214087952;57214092753;","Research on knowledge mapping construction of big data",2019,"Journal of Physics: Conference Series","1423","1", 012019,"","",,,"10.1088/1742-6596/1423/1/012019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078178910&doi=10.1088%2f1742-6596%2f1423%2f1%2f012019&partnerID=40&md5=a9903d0fef522fd6d1d299c2794509d0","Xuzhou University of Technology, Xuzhou, Jiangsu, 221008, China; University of Chinese Academy of Sciences, Beijing, 100000, China; Xinjiang Astronomical Observatory, CAS, Urumqi, Xinjiang, 830011, China","Jiang, X., Xuzhou University of Technology, Xuzhou, Jiangsu, 221008, China; Ju, P., Xuzhou University of Technology, Xuzhou, Jiangsu, 221008, China; Song, Y., University of Chinese Academy of Sciences, Beijing, 100000, China, Xinjiang Astronomical Observatory, CAS, Urumqi, Xinjiang, 830011, China; Mao, L., Xuzhou University of Technology, Xuzhou, Jiangsu, 221008, China; Xie, G., Xuzhou University of Technology, Xuzhou, Jiangsu, 221008, China","Jiang, X.; Xuzhou University of TechnologyChina; email: 447502622@qq.com","Ge L.Xiao X.","Institute of Physics Publishing",17426588,,,,"English","J. Phys. Conf. Ser.",Conference Paper,"Final",Open Access,Scopus,2-s2.0-85078178910
"Jiang L., Xu J., Sang M., Zhang Y., Ye M., Zhang H., Wu B., Zhu Y., Xu P., Tai R., Zhao Z., Jiang Y., Dong C., Sun L., Griffin C.H., Gragnoli C., Wu R.","56133397000;56124456300;57194454412;56387416800;49962751400;55991831300;57211871076;57211869907;57203949344;57193567507;55636492300;35112213100;55872242000;50562205300;7201968190;6602570388;7402944700;","A Drive to Driven Model of Mapping Intraspecific Interaction Networks",2019,"iScience","22",,,"109","122",,,"10.1016/j.isci.2019.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075202223&doi=10.1016%2fj.isci.2019.11.002&partnerID=40&md5=6e0f5601cb0f9c9de1f93b7b3dd04af7","Beijing Advanced Innovation Center for Tree Breeding by Molecular Design, Center for Computational Biology, College of Biological Sciences and Technology, Beijing Forestry UniversityBeijing  100083, China; Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China; Fujian Collaborative Innovation Center for Exploitation and Utilization of Marine Biological Resources, Xiamen University, Xiamen, Fujian  361102, China; College of Fishery, Henan Normal University, Xinxiang, Henan  453007, China; Applied Research Laboratory, The Pennsylvania State University, University ParkPA  16802, United States; Division of Endocrinology, Diabetes, and Metabolic Disease, Translational Medicine, Department of Medicine, Sidney Kimmel Medical College, Thomas Jefferson University, Philadelphia, PA  19106, United States; Molecular Biology Laboratory, Bios Biotech Multi Diagnostic Health Center, Rome, 00197, Italy; Center for Statistical Genetics, The Pennsylvania State University, Hershey, PA  17033, United States","Jiang, L., Beijing Advanced Innovation Center for Tree Breeding by Molecular Design, Center for Computational Biology, College of Biological Sciences and Technology, Beijing Forestry UniversityBeijing  100083, China; Xu, J., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China; Sang, M., Beijing Advanced Innovation Center for Tree Breeding by Molecular Design, Center for Computational Biology, College of Biological Sciences and Technology, Beijing Forestry UniversityBeijing  100083, China; Zhang, Y., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China; Ye, M., Beijing Advanced Innovation Center for Tree Breeding by Molecular Design, Center for Computational Biology, College of Biological Sciences and Technology, Beijing Forestry UniversityBeijing  100083, China; Zhang, H., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China; Wu, B., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China; Zhu, Y., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China; Xu, P., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China, Fujian Collaborative Innovation Center for Exploitation and Utilization of Marine Biological Resources, Xiamen University, Xiamen, Fujian  361102, China; Tai, R., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China; Zhao, Z., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China; Jiang, Y., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China; Dong, C., Key Laboratory of Aquatic Genomics, Ministry of Agriculture, CAFS Key Laboratory of Aquatic Genomics and Beijing Key Laboratory of Fishery Biotechnology, Chinese Academy of Fishery Sciences, Beijing, 100141, China, College of Fishery, Henan Normal University, Xinxiang, Henan  453007, China; Sun, L., Beijing Advanced Innovation Center for Tree Breeding by Molecular Design, Center for Computational Biology, College of Biological Sciences and Technology, Beijing Forestry UniversityBeijing  100083, China; Griffin, C.H., Applied Research Laboratory, The Pennsylvania State University, University ParkPA  16802, United States; Gragnoli, C., Division of Endocrinology, Diabetes, and Metabolic Disease, Translational Medicine, Department of Medicine, Sidney Kimmel Medical College, Thomas Jefferson University, Philadelphia, PA  19106, United States, Molecular Biology Laboratory, Bios Biotech Multi Diagnostic Health Center, Rome, 00197, Italy; Wu, R., Beijing Advanced Innovation Center for Tree Breeding by Molecular Design, Center for Computational Biology, College of Biological Sciences and Technology, Beijing Forestry UniversityBeijing  100083, China, Center for Statistical Genetics, The Pennsylvania State University, Hershey, PA  17033, United States","Wu, R.; Beijing Advanced Innovation Center for Tree Breeding by Molecular Design, Center for Computational Biology, College of Biological Sciences and Technology, Beijing Forestry UniversityChina; email: rwu@bjfu.edu.cn",,"Elsevier Inc.",25890042,,,,"English","iScience",Article,"Final",Open Access,Scopus,2-s2.0-85075202223
"Han Q., Yang B., Wang X.","42961358100;57198837663;57213689305;","Online and robust resource allocation for D2D communications assisted by Green relays",2019,"IET Communications","13","20",,"3547","3557",,,"10.1049/iet-com.2019.0363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077432176&doi=10.1049%2fiet-com.2019.0363&partnerID=40&md5=389deb388d64849e766365405c212b38","School of Electrical and Information Engineering, Tianjin University, No. 92 Weijin Road, Nankai District, Tianjin, China; Department of Automation, Shanghai Jiao Tong University, No. 800 Dongchuan Road, Minhang District, Shanghai, China; Key Laboratory of System Control and Information Processing, Ministry of Education of China, No. 800 Dongchuan Road, Minhang District, Shanghai, China; Tianjin Key Laboratory of Wireless Mobile Communications and Power Transmission, College of Electronic and Communication Engineering, Tianjin Normal University, No. 393, Extension of Binshui West Road, Xiqing District, Tianjin, China","Han, Q., School of Electrical and Information Engineering, Tianjin University, No. 92 Weijin Road, Nankai District, Tianjin, China; Yang, B., Department of Automation, Shanghai Jiao Tong University, No. 800 Dongchuan Road, Minhang District, Shanghai, China, Key Laboratory of System Control and Information Processing, Ministry of Education of China, No. 800 Dongchuan Road, Minhang District, Shanghai, China; Wang, X., Tianjin Key Laboratory of Wireless Mobile Communications and Power Transmission, College of Electronic and Communication Engineering, Tianjin Normal University, No. 393, Extension of Binshui West Road, Xiqing District, Tianjin, China","Han, Q.; School of Electrical and Information Engineering, Tianjin University, No. 92 Weijin Road, Nankai District, China; email: qnhan@tju.edu.cn",,"Institution of Engineering and Technology",17518628,,,,"English","IET Commun.",Article,"Final",,Scopus,2-s2.0-85077432176
"Nuotclà J.A., Biedermann P.H.W., Taborsky M.","57212495611;24334393600;7004445566;","Pathogen defence is a potential driver of social evolution in ambrosia beetles",2019,"Proceedings of the Royal Society B: Biological Sciences","286","1917", 20192332,"","",,,"10.1098/rspb.2019.2332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076852333&doi=10.1098%2frspb.2019.2332&partnerID=40&md5=511a769993094a5def68554887e8de6c","Department of Behavioural Ecology, Institute of Ecology and Evolution, University of Bern, Baltzerstrasse 6, Bern, 3012, Switzerland; Research Group Insect-Fungus Symbiosis, Department of Animal Ecology and Tropical Biology, Am Hubland, Biocenter, Wuerzburg, 97074, Germany","Nuotclà, J.A., Department of Behavioural Ecology, Institute of Ecology and Evolution, University of Bern, Baltzerstrasse 6, Bern, 3012, Switzerland; Biedermann, P.H.W., Research Group Insect-Fungus Symbiosis, Department of Animal Ecology and Tropical Biology, Am Hubland, Biocenter, Wuerzburg, 97074, Germany; Taborsky, M., Department of Behavioural Ecology, Institute of Ecology and Evolution, University of Bern, Baltzerstrasse 6, Bern, 3012, Switzerland","Nuotclà, J.A.; Department of Behavioural Ecology, Institute of Ecology and Evolution, University of Bern, Baltzerstrasse 6, Switzerland; email: jon.nuotcla@iee.unibe.ch",,"Royal Society Publishing",09628452,,PRLBA,"31847779","English","Proc. R. Soc. B Biol. Sci.",Article,"Final",,Scopus,2-s2.0-85076852333
