DOI,Publisher,Year,DOI manually added based on…,
10.1016/j.amjcard.2016.01.002,Elsevier,2016,,
10.1016/j.amjcard.2016.01.007,Elsevier,2016,,
10.1016/j.amjcard.2016.04.030,Elsevier,2016,,
10.1016/j.amjcard.2016.05.006,Elsevier,2016,,
10.1016/j.amjcard.2016.05.008,Elsevier,2016,,
10.1016/j.amjcard.2016.05.053,Elsevier,2016,,
10.1016/j.amjcard.2016.06.026,Elsevier,2016,,
10.1016/j.amjcard.2016.06.048,Elsevier,2016,,
10.1016/j.amjcard.2016.07.032,Elsevier,2016,,
10.1016/j.amjcard.2016.08.010,Elsevier,2016,,
10.1016/j.amjcard.2016.08.021,Elsevier,2016,,
10.1016/j.amjcard.2016.08.091,Elsevier,2016,,
10.1016/j.amjcard.2016.09.038,Elsevier,2016,,
10.1016/j.algal.2015.12.020,Elsevier,2016,,
10.1016/j.algal.2016.01.015,Elsevier,2016,,
10.1016/j.algal.2016.02.002,Elsevier,2016,,
10.1016/j.algal.2016.04.022,Elsevier,2016,,
10.1016/j.algal.2016.06.007,Elsevier,2016,,
10.1016/j.algal.2016.10.004,Elsevier,2016,,
10.1016/j.apenergy.2015.12.065,Elsevier,2016,,
10.1016/j.apenergy.2016.01.110,Elsevier,2016,,
10.1016/j.apenergy.2016.01.131,Elsevier,2016,,
10.1016/j.apenergy.2016.02.019,Elsevier,2016,,
10.1016/j.apenergy.2016.03.107,Elsevier,2016,,
10.1016/j.apenergy.2016.04.024,Elsevier,2016,,
10.1016/j.apenergy.2016.04.044,Elsevier,2016,,
10.1016/j.apenergy.2016.04.103,Elsevier,2016,,
10.1016/j.apenergy.2016.07.105,Elsevier,2016,,
10.1016/j.apenergy.2016.09.051,Elsevier,2016,,
10.1016/j.apenergy.2016.09.056,Elsevier,2016,,
10.1016/j.apenergy.2016.09.078,Elsevier,2016,,
10.1016/j.apenergy.2016.10.030,Elsevier,2016,,
10.1016/j.apenergy.2016.10.070,Elsevier,2016,,
10.1016/j.apenergy.2016.10.084,Elsevier,2016,,
10.1016/j.apenergy.2016.10.122,Elsevier,2016,,
10.1016/j.apenergy.2016.11.033,Elsevier,2016,,
10.1016/j.apenergy.2016.11.035,Elsevier,2016,,
10.1016/j.applthermaleng.2015.12.095,Elsevier,2016,,
10.1016/j.applthermaleng.2016.03.055,Elsevier,2016,,
10.1016/j.applthermaleng.2016.06.015,Elsevier,2016,,
10.1016/j.applthermaleng.2016.09.057,Elsevier,2016,,
10.1016/j.applthermaleng.2016.11.167,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.01.024,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.01.031,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.02.012,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.02.030,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.03.011,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.04.008,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.05.018,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.05.031,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.05.038,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.05.047,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.06.021,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.06.023,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.07.008,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.07.912,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.09.069,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.10.012,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.10.019,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.10.030,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.10.038,Elsevier,2016,,
10.1016/j.atherosclerosis.2016.11.018,Elsevier,2016,,
10.1016/j.autrev.2016.02.018,Elsevier,2016,,
10.1016/j.autrev.2016.07.018,Elsevier,2016,,
10.1016/j.buildenv.2016.02.004,Elsevier,2016,,
10.1016/j.buildenv.2016.03.013,Elsevier,2016,,
10.1016/j.buildenv.2016.05.026,Elsevier,2016,,
10.1016/j.buildenv.2016.06.028,Elsevier,2016,,
10.1016/j.buildenv.2016.06.031,Elsevier,2016,,
10.1016/j.buildenv.2016.08.035,Elsevier,2016,,
10.1016/j.buildenv.2016.09.016,Elsevier,2016,,
10.1016/j.buildenv.2016.09.036,Elsevier,2016,,
10.1016/j.buildenv.2016.10.021,Elsevier,2016,,
10.1016/j.buildenv.2016.11.036,Elsevier,2016,,
10.1016/j.buildenv.2016.11.042,Elsevier,2016,,
10.1016/j.jbiotec.2016.02.012,Elsevier,2016,,
